

#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = P or A
#DETECTION P-VALUE = 
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1415728_at	1807.48	P	0.000244141
1415729_at	6960.34	P	0.000244141
1415730_at	2848.03	P	0.000732422
1415731_at	1536.94	P	0.000244141
1415732_at	1259	P	0.0141602
1415733_a_at	7519.09	P	0.000244141
1415734_at	8492.53	P	0.000244141
1415735_at	3952.94	P	0.000244141
1415736_at	20705.4	P	0.000244141
1415737_at	3135.47	P	0.000244141
1415738_at	5102.06	P	0.000244141
1415739_at	3598.31	P	0.000244141
1415740_at	5418.01	P	0.000244141
1415741_at	5701.27	P	0.000244141
1415742_at	4569.26	P	0.000244141
1415743_at	1197.66	P	0.00292969
1415744_at	8780.52	P	0.000732422
1415745_a_at	3248.25	P	0.000244141
1415746_at	1539.51	P	0.000244141
1415747_s_at	7259.67	P	0.000244141
1415748_a_at	6970.3	P	0.000244141
1415749_a_at	6404.09	P	0.000244141
1415750_at	837.068	P	0.0012207
1415751_at	11389.8	P	0.000244141
1415752_at	8574.26	P	0.000244141
1415753_at	4419.22	P	0.000244141
1415754_at	5420.97	P	0.000244141
1415755_a_at	5557.28	P	0.000732422
1415756_a_at	3308.26	P	0.000244141
1415757_at	905.599	P	0.000732422
1415758_at	3264.46	P	0.000244141
1415759_a_at	12206.9	P	0.000244141
1415760_s_at	6665.66	P	0.0012207
1415761_at	6926.72	P	0.000244141
1415762_x_at	7683.03	P	0.000244141
1415763_a_at	7918.69	P	0.000244141
1415764_at	9817.24	P	0.000244141
1415765_at	3532.99	P	0.000244141
1415766_at	1626.51	P	0.000244141
1415767_at	3484.1	P	0.000244141
1415768_a_at	4211.75	P	0.000244141
1415769_at	3299.72	P	0.000244141
1415770_at	2673.72	P	0.000244141
1415771_at	38806.8	P	0.000244141
1415772_at	1864.44	P	0.000244141
1415773_at	24777.6	P	0.000244141
1415774_at	2085.3	P	0.00195313
1415775_at	21806.4	P	0.000244141
1415776_at	1112.04	P	0.0141602
1415777_at	18.8899	A	0.696289
1415778_at	9041.78	P	0.000244141
1415779_s_at	69890.9	P	0.000244141
1415780_a_at	643.391	P	0.000244141
1415781_a_at	59118.3	P	0.000244141
1415782_at	30974.3	P	0.000244141
1415783_at	10952.1	P	0.000244141
1415784_at	2341.33	P	0.000244141
1415785_a_at	12564.1	P	0.000244141
1415786_at	10.3533	A	0.633789
1415787_at	2271.97	P	0.000244141
1415788_at	1560.16	P	0.000244141
1415789_a_at	320.191	P	0.000732422
1415790_at	587.553	P	0.0012207
1415791_at	3292.75	P	0.00195313
1415792_at	3961	P	0.000244141
1415793_at	1701.88	P	0.000732422
1415794_a_at	4024.67	P	0.000244141
1415795_at	1010.06	P	0.000244141
1415796_at	23344.9	P	0.000244141
1415797_at	395.319	A	0.125244
1415798_at	151.69	A	0.303711
1415799_at	4546.26	P	0.000244141
1415800_at	1169.51	P	0.000732422
1415801_at	305.42	P	0.0141602
1415802_at	5326.73	P	0.000244141
1415803_at	82.9991	A	0.129639
1415804_at	243.597	A	0.0805664
1415805_at	72.8416	A	0.246094
1415806_at	41.1082	A	0.19458
1415807_s_at	6165.97	P	0.000244141
1415808_at	54.0516	A	0.533936
1415809_at	19.0676	A	0.633789
1415810_at	4557.84	P	0.000244141
1415811_at	2196.91	P	0.000244141
1415812_at	4702.34	P	0.000244141
1415813_at	5196.36	P	0.000244141
1415814_at	3492.59	P	0.0012207
