

#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = A or P
#DETECTION P-VALUE = NA
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1415729_at	7726.44	P	0.000244141
1415730_at	2349.09	P	0.000244141
1415731_at	1421.1	P	0.000244141
1415732_at	1395.6	P	0.000244141
1415733_a_at	9374.75	P	0.000244141
1415734_at	9192.73	P	0.000244141
1415735_at	4614.79	P	0.000244141
1415736_at	20115.2	P	0.000244141
1415737_at	2109.86	P	0.000244141
1415738_at	5444.22	P	0.000244141
1415739_at	3111.97	P	0.000244141
1415740_at	5201.14	P	0.000244141
1415741_at	6471.39	P	0.000244141
1415742_at	3688.01	P	0.000244141
1415743_at	1047.04	P	0.00415039
1415744_at	8577.21	P	0.000244141
1415745_a_at	3491.28	P	0.000244141
1415746_at	1268.48	P	0.000244141
1415747_s_at	6310.42	P	0.000244141
1415748_a_at	5895.52	P	0.000244141
1415749_a_at	5885.44	P	0.000244141
1415750_at	893.637	P	0.000244141
1415751_at	10053	P	0.000244141
1415752_at	8613.53	P	0.000244141
1415753_at	3938.84	P	0.000244141
1415754_at	7426.94	P	0.000244141
1415755_a_at	6992.16	P	0.000732422
1415756_a_at	4116.68	P	0.000732422
1415757_at	980.969	P	0.000732422
1415758_at	2470.91	P	0.000244141
1415759_a_at	12096.9	P	0.000244141
1415760_s_at	10907.9	P	0.000244141
1415761_at	6287.24	P	0.000244141
1415762_x_at	6524.37	P	0.000244141
1415763_a_at	6527.36	P	0.000244141
1415764_at	6672.22	P	0.000244141
1415765_at	3406.69	P	0.000244141
1415766_at	1475.69	P	0.000244141
1415767_at	3321.75	P	0.000244141
1415768_a_at	3085.86	P	0.000244141
1415769_at	3051.73	P	0.000244141
1415770_at	2829.12	P	0.000244141
1415771_at	44741.4	P	0.000244141
1415772_at	3059.4	P	0.000244141
1415773_at	31533.6	P	0.000244141
1415774_at	1280.67	P	0.000732422
1415775_at	26153	P	0.000244141
1415776_at	1031.28	P	0.00292969
1415777_at	10.2788	A	0.919434
1415778_at	12105.8	P	0.000244141
1415779_s_at	81921.6	P	0.000244141
1415780_a_at	70.3946	A	0.111572
1415781_a_at	58391.4	P	0.000244141
1415782_at	30491.9	P	0.000244141
1415783_at	10762.4	P	0.000244141
1415784_at	2451.61	P	0.000244141
1415785_a_at	15072.3	P	0.000244141
1415786_at	30.6772	A	0.398926
1415787_at	2397.39	P	0.000244141
1415788_at	1054.95	P	0.000244141
1415789_a_at	197.536	P	0.000244141
1415790_at	386.824	P	0.000732422
1415791_at	1300.89	P	0.00195313
1415792_at	3563.09	P	0.0012207
1415793_at	1745.07	P	0.000732422
1415794_a_at	3770.94	P	0.000244141
1415795_at	1368.65	P	0.000244141
1415796_at	24359.9	P	0.000244141
1415797_at	341.718	A	0.129639
1415798_at	154.976	A	0.303711
1415799_at	4332.3	P	0.000244141
1415800_at	2475.11	P	0.000244141
1415801_at	534.928	P	0.00195313
1415802_at	5986.51	P	0.000244141
1415803_at	146.515	P	0.0461426
1415804_at	47.2931	A	0.366211
1415805_at	53.2245	A	0.398926
1415806_at	14.3751	A	0.533936
1415807_s_at	7598.7	P	0.000244141
1415808_at	11.2504	A	0.533936
1415809_at	5.18095	A	0.780518
1415810_at	7000.43	P	0.000244141
1415811_at	2414.25	P	0.000244141
1415812_at	8586.75	P	0.000244141
1415813_at	5391.85	P	0.000244141
1415814_at	2706.66	P	0.00195313
1415815_at	64.6813	A	0.246094
1415816_at	15817.5	P	0.000244141
1415817_s_at	9353.5	P	0.000244141
1415818_at	6557.1	P	0.000244141
1415819_a_at	7140.95	P	0.000244141
1415820_x_at	13021.2	P	0.000244141
1415821_at	7252.72	P	0.000244141
1415822_at	27495.9	P	0.000244141
1415823_at	7595.09	P	0.000244141
1415824_at	1646.96	P	0.000244141
1415825_s_at	1796.8	P	0.000244141
1415826_at	5392.12	P	0.000244141
1415827_a_at	8334.07	P	0.000244141
1415828_a_at	7449.73	P	0.000244141
1415829_at	26642.7	P	0.000244141
1415830_at	2045.25	P	0.000244141
1415831_at	8995.87	P	0.000244141
1415832_at	4.27086	A	0.919434
1415833_x_at	71749.4	P	0.000244141
1415834_at	24982.2	P	0.000244141
1415835_at	80.0182	A	0.149658
1415836_at	2362.94	P	0.000244141
1415837_at	32.2142	A	0.466064
1415838_at	10048	P	0.000244141
1415839_a_at	57622.5	P	0.000244141
1415840_at	21622.8	P	0.000244141
1415841_at	5044.49	P	0.000244141
1415842_at	635.935	P	0.00292969
1415843_at	578.666	P	0.00195313
1415844_at	8.80578	A	0.780518
1415845_at	21.8613	A	0.665527
1415846_a_at	1.76509	A	0.95166
1415847_at	52.5172	A	0.525391
1415848_at	143.021	A	0.334473
1415849_s_at	38583.9	P	0.000244141
1415850_at	2839.06	P	0.000244141
1415851_a_at	10175	P	0.000244141
1415852_at	11449.7	P	0.000244141
1415853_at	337.301	A	0.149658
1415854_at	80.2534	A	0.27417
1415855_at	40.677	A	0.149658
1415856_at	4720.59	P	0.000244141
1415857_at	18814.9	P	0.000244141
1415858_at	17492	P	0.000244141
1415859_at	9366.71	P	0.000244141
1415860_at	19806.8	P	0.000244141
1415861_at	20.3748	A	0.72583
1415862_at	23.1224	A	0.533936
1415863_at	20601.1	P	0.000244141
1415864_at	2190.22	P	0.000244141
1415865_s_at	1724.52	P	0.000244141
1415866_at	941.021	P	0.000244141
1415867_at	24886.5	P	0.000244141
1415868_at	58.51	A	0.326416
1415869_a_at	5099.68	P	0.000244141
1415870_at	4230.52	P	0.000244141
1415871_at	10.3995	A	0.753906
1415872_at	16432.7	P	0.000244141
1415873_a_at	4241	P	0.000244141
1415874_at	4551.68	P	0.000244141
1415875_at	159.087	M	0.0561523
1415876_a_at	53681.9	P	0.000244141
1415877_at	132.572	A	0.149658
1415878_at	7511.31	P	0.000244141
