

#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = A or P
#DETECTION P-VALUE = 
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX-BioB-5_at	5066.1	P	0.000044
AFFX-BioB-M_at	7386	P	0.000044
AFFX-BioB-3_at	4199.3	P	0.000044
AFFX-BioC-5_at	8738.8	P	0.000044
AFFX-BioC-3_at	6395.4	P	0.000044
AFFX-BioDn-5_at	12199.8	P	0.000044
AFFX-BioDn-3_at	33312.3	P	0.000044
AFFX-CreX-5_at	75589	P	0.000052
AFFX-CreX-3_at	90994.5	P	0.000044
AFFX-DapX-5_at	16	A	0.41138
AFFX-DapX-M_at	9.8	A	0.514891
AFFX-DapX-3_at	5.9	A	0.891021
AFFX-LysX-5_at	1.8	A	0.921998
AFFX-LysX-M_at	19.2	A	0.712257
AFFX-LysX-3_at	18.7	A	0.485109
AFFX-PheX-5_at	2.2	A	0.98333
AFFX-PheX-M_at	18.1	A	0.470241
AFFX-PheX-3_at	13.6	A	0.300606
AFFX-ThrX-5_at	40.8	P	0.021893
AFFX-ThrX-M_at	24.8	A	0.287743
AFFX-ThrX-3_at	4.4	A	0.891021
AFFX-TrpnX-5_at	22	A	0.440646
AFFX-TrpnX-M_at	3.7	A	0.860538
AFFX-TrpnX-3_at	10.4	A	0.574038
AFFX-r2-Ec-bioB-5_at	7261.2	P	0.000244
AFFX-r2-Ec-bioB-M_at	7917.5	P	0.000244
AFFX-r2-Ec-bioB-3_at	5464.8	P	0.000244
AFFX-r2-Ec-bioC-5_at	9430	P	0.000244
AFFX-r2-Ec-bioC-3_at	10938.6	P	0.000244
AFFX-r2-Ec-bioD-5_at	33208.2	P	0.000244
AFFX-r2-Ec-bioD-3_at	42550.7	P	0.000244
AFFX-r2-P1-cre-5_at	112927.8	P	0.000244
AFFX-r2-P1-cre-3_at	130746.9	P	0.000244
AFFX-r2-Bs-dap-5_at	2.3	A	0.432373
AFFX-r2-Bs-dap-M_at	7.9	A	0.798828
AFFX-r2-Bs-dap-3_at	3.8	A	0.303711
AFFX-r2-Bs-lys-5_at	22.8	A	0.466064
AFFX-r2-Bs-lys-M_at	17.4	A	0.601074
AFFX-r2-Bs-lys-3_at	28.5	A	0.080566
AFFX-r2-Bs-phe-5_at	3.7	A	0.80542
AFFX-r2-Bs-phe-M_at	1.6	A	0.870361
AFFX-r2-Bs-phe-3_at	38	A	0.171387
AFFX-r2-Bs-thr-3_s_at	28.3	A	0.390625
AFFX-r2-Bs-thr-M_s_at	26.5	A	0.601074
AFFX-r2-Bs-thr-5_s_at	41.7	A	0.334473
AFFX-b-ActinMur/M12481_5_at	46763.9	P	0.000044
AFFX-b-ActinMur/M12481_M_at	44768	P	0.000044
AFFX-b-ActinMur/M12481_3_at	69783.2	P	0.000044
AFFX-GapdhMur/M32599_5_at	21999.9	P	0.000044
AFFX-GapdhMur/M32599_M_at	16873.9	P	0.000044
AFFX-GapdhMur/M32599_3_at	15231	P	0.000044
AFFX-TransRecMur/X57349_5_at	6.8	A	0.737173
AFFX-TransRecMur/X57349_M_at	9	A	0.617411
AFFX-TransRecMur/X57349_3_at	133	P	0.000754
AFFX-PyruCarbMur/L09192_5_at	58.9	A	0.16584
AFFX-PyruCarbMur/L09192_MA_at	83.1	A	0.250796
AFFX-PyruCarbMur/L09192_MB_at	19.2	A	0.52976
AFFX-PyruCarbMur/L09192_3_at	78.4	P	0.001101
AFFX-18SRNAMur/X00686_5_at	13847.1	P	0.000044
AFFX-18SRNAMur/X00686_M_at	3897.8	P	0.000052
AFFX-18SRNAMur/X00686_3_at	7147.3	P	0.000044
AFFX-MUR_b2_at	1681.1	P	0.000735
AFFX-MURINE_b1_at	6516.2	P	0.000081
AFFX-MURINE_B2_at	70395.3	P	0.00003
1415670_at	2311.2	P	0.000244
1415671_at	2475	P	0.000732
1415672_at	4170.6	P	0.000244
1415673_at	1488.4	P	0.000732
1415674_a_at	2387.4	P	0.000244
1415675_at	1681	P	0.000244
1415676_a_at	3573.3	P	0.000244
1415677_at	296.1	P	0.018555
1415678_at	2457.9	P	0.000244
1415679_at	9036.6	P	0.000244
