

#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = A or P
#DETECTION P-VALUE = 
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1415728_at	1682.86	P	0.000244141
1415729_at	7165.32	P	0.000244141
1415730_at	2179.14	P	0.000244141
1415731_at	1479.44	P	0.000732422
1415732_at	1300.34	P	0.000732422
1415733_a_at	8966.94	P	0.000244141
1415734_at	8901.44	P	0.000244141
1415735_at	4913.63	P	0.000244141
1415736_at	19873.6	P	0.000244141
1415737_at	2145.27	P	0.000244141
1415738_at	5045.14	P	0.000244141
1415739_at	3447.55	P	0.000244141
1415740_at	5111.15	P	0.000244141
1415741_at	6716.12	P	0.000244141
1415742_at	4076.5	P	0.000244141
1415743_at	1077.68	P	0.00195313
1415744_at	8344.16	P	0.000244141
1415745_a_at	3550.89	P	0.000244141
1415746_at	1169.92	P	0.000244141
1415747_s_at	6440.65	P	0.000244141
1415748_a_at	5649.01	P	0.000244141
1415749_a_at	6134.15	P	0.000244141
1415750_at	982.195	P	0.000732422
1415751_at	10283.3	P	0.000244141
1415752_at	8035.93	P	0.000244141
1415753_at	3770.42	P	0.000244141
1415754_at	7043.76	P	0.000244141
1415755_a_at	6938.18	P	0.000732422
1415756_a_at	4294.65	P	0.000732422
1415757_at	1112.42	P	0.0012207
1415758_at	2781.38	P	0.000244141
1415759_a_at	12015.6	P	0.000244141
1415760_s_at	10252	P	0.000244141
1415761_at	6234.94	P	0.000244141
1415762_x_at	6563.47	P	0.000244141
1415763_a_at	6543.02	P	0.000244141
1415764_at	6990.15	P	0.000244141
1415765_at	3895.62	P	0.000244141
1415766_at	1682.93	P	0.000244141
1415767_at	3308.25	P	0.000244141
1415768_a_at	3006.85	P	0.000244141
1415769_at	3497.97	P	0.000244141
1415770_at	3057.28	P	0.000244141
1415771_at	45908.8	P	0.000244141
1415772_at	2935.6	P	0.000244141
1415773_at	28067.7	P	0.000244141
1415774_at	1702.84	P	0.000732422
1415775_at	29305.1	P	0.000244141
1415776_at	1190.45	P	0.00195313
1415777_at	7.0774	A	0.916016
1415778_at	12550	P	0.000244141
1415779_s_at	84925.5	P	0.000244141
1415780_a_at	55.901	A	0.398926
1415781_a_at	62268.9	P	0.000244141
1415782_at	31499.5	P	0.000244141
1415783_at	11822.8	P	0.000244141
1415784_at	2277.57	P	0.000732422
1415785_a_at	15031.2	P	0.000244141
1415786_at	90.2977	P	0.0375977
1415787_at	2446.34	P	0.000244141
1415788_at	1063.77	P	0.000244141
1415789_a_at	289.043	P	0.000244141
1415790_at	359.019	P	0.0012207
1415791_at	966.086	P	0.00415039
1415792_at	3537.8	P	0.000732422
1415793_at	1711.48	P	0.000732422
1415794_a_at	3830.72	P	0.000244141
1415795_at	965.74	P	0.000244141
1415796_at	23673.2	P	0.000244141
1415797_at	314.916	P	0.0461426
1415798_at	144.048	A	0.432373
1415799_at	3761.25	P	0.000244141
1415800_at	2599.6	P	0.000244141
1415801_at	463.171	P	0.0012207
1415802_at	6084.98	P	0.000244141
1415803_at	96.1344	A	0.0805664
1415804_at	161.362	A	0.0805664
1415805_at	8.88263	A	0.633789
1415806_at	7.96107	A	0.850342
1415807_s_at	7887.44	P	0.000244141
1415808_at	4.51807	A	0.850342
1415809_at	7.36147	A	0.601074
1415810_at	5934.2	P	0.000244141
1415811_at	2234.21	P	0.000244141
1415812_at	9016.74	P	0.000244141
1415813_at	5554.37	P	0.000244141
1415814_at	2720.51	P	0.0012207
1415815_at	75.2865	A	0.129639
1415816_at	16793.7	P	0.000244141
1415817_s_at	9167.36	P	0.000244141
1415818_at	6189.48	P	0.000244141
1415819_a_at	7823.2	P	0.000244141
1415820_x_at	11724.5	P	0.000244141
1415821_at	6924.15	P	0.000244141
1415822_at	27040.7	P	0.000244141
1415823_at	7408.97	P	0.000244141
1415824_at	1280.72	P	0.000244141
1415825_s_at	1690.5	P	0.000244141
1415826_at	5262.67	P	0.000244141
1415827_a_at	8247.43	P	0.000244141
1415828_a_at	7885	P	0.000244141
1415829_at	25548.6	P	0.000244141
1415830_at	2202.62	P	0.000732422
1415831_at	8845.37	P	0.000244141
1415832_at	1.92852	A	0.943848
1415833_x_at	80556.9	P	0.000244141
1415834_at	24073.9	P	0.000244141
1415835_at	45.3241	A	0.303711
1415836_at	2036.61	P	0.000244141
1415837_at	3.94979	A	0.870361
1415838_at	9908.26	P	0.000244141
1415839_a_at	59196.2	P	0.000244141
1415840_at	22813.8	P	0.000244141
1415841_at	5186.37	P	0.000244141
1415842_at	463.905	P	0.000244141
1415843_at	486.228	P	0.000244141
1415844_at	5.53137	A	0.780518
1415845_at	51.402	A	0.533936
1415846_a_at	20.7739	A	0.625244
1415847_at	89.735	A	0.5
1415848_at	63.0952	A	0.601074
1415849_s_at	38732.2	P	0.000244141
1415850_at	3192.49	P	0.000244141
1415851_a_at	10459.7	P	0.000244141
1415852_at	12317.4	P	0.000244141
1415853_at	242.641	M	0.0561523
1415854_at	54.6562	A	0.129639
1415855_at	52.2294	A	0.171387
1415856_at	5045.99	P	0.000244141
1415857_at	19339.8	P	0.000244141
1415858_at	17655.8	P	0.000244141
1415859_at	8564.73	P	0.000244141
1415860_at	20324.2	P	0.000244141
1415861_at	6.29336	A	0.888428
1415862_at	9.5129	A	0.665527
1415863_at	18927.5	P	0.000244141
1415864_at	1731.22	P	0.000244141
1415865_s_at	1683.63	P	0.000244141
1415866_at	931.865	P	0.000244141
1415867_at	23925	P	0.000244141
1415868_at	29.683	A	0.219482
1415869_a_at	5776.42	P	0.000244141
1415870_at	4127.94	P	0.000244141
1415871_at	10.5292	A	0.665527
1415872_at	16573.8	P	0.000244141
1415873_a_at	4189.54	P	0.000244141
1415874_at	4901.14	P	0.000244141
1415875_at	239.822	P	0.0107422
1415876_a_at	60145	P	0.000244141
1415877_at	17.2549	A	0.5
1415878_at	7908.38	P	0.000244141
1415879_a_at	97021.9	P	0.000244141
1415880_a_at	11888.8	P	0.000244141
1415881_at	5431.06	P	0.000244141
1415882_at	20198.2	P	0.000244141
1415883_a_at	10.2648	A	0.888428
1415884_at	343.281	A	0.0952148
1415885_at	7.91273	A	0.828613
1415886_at	766.705	P	0.000732422
1415887_at	9103.99	P	0.000244141
1415888_at	6767.07	P	0.000244141
1415889_a_at	23029.7	P	0.000244141
1415890_at	1625.58	P	0.000244141
1415891_at	7459.61	P	0.000244141
1415892_at	936.81	P	0.000732422
1415893_at	426.794	P	0.000244141
1415894_at	84.0582	A	0.129639
1415895_at	1524.92	A	0.246094
1415896_x_at	145.286	A	0.567627
1415897_a_at	98.5728	A	0.067627
1415898_at	50.5516	A	0.334473
1415899_at	5977.59	P	0.000244141
1415900_a_at	74.1046	A	0.303711
1415901_at	1173.57	P	0.0141602
1415902_at	6.98465	A	0.850342
1415903_at	3050.18	P	0.000244141
1415904_at	304.051	P	0.0012207
1415905_at	108.945	A	0.111572
1415906_at	104220	P	0.000244141
1415907_at	7519.43	P	0.000244141
1415908_at	3699.71	P	0.000244141
1415909_at	4419.75	P	0.000244141
1415910_s_at	1296.74	P	0.0012207
1415911_at	1268.58	P	0.000244141
1415912_a_at	44310.2	P	0.000244141
1415913_at	1001.82	P	0.0012207
1415914_at	25371.4	P	0.000244141
1415915_at	7027.62	P	0.000244141
1415916_a_at	2693.26	P	0.000244141
1415917_at	1914.33	P	0.000244141
1415918_a_at	46402.3	P	0.000244141
1415919_at	141.603	P	0.0375977
1415920_at	6254.04	P	0.000244141
1415921_a_at	2.02643	A	0.696289
1415922_s_at	91.8097	P	0.0302734
1415923_at	92.6052	M	0.0561523
