

#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = P or A
#DETECTION P-VALUE = 
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX-BioB-5_at	1702.67	P	0.000445901
AFFX-BioB-M_at	2715.67	P	4.42873e-05
AFFX-BioB-3_at	1883.23	P	4.42873e-05
AFFX-BioC-5_at	4939.61	P	4.42873e-05
AFFX-BioC-3_at	6883.06	P	4.42873e-05
AFFX-BioDn-5_at	12723.3	P	4.42873e-05
AFFX-BioDn-3_at	18907.8	P	4.42873e-05
AFFX-CreX-5_at	63387.6	P	5.16732e-05
AFFX-CreX-3_at	66806.6	P	4.42873e-05
AFFX-DapX-5_at	2395.17	P	8.14279e-05
AFFX-DapX-M_at	5109.89	P	0.000126798
AFFX-DapX-3_at	7288.4	P	4.42873e-05
AFFX-LysX-5_at	413.921	P	4.42873e-05
AFFX-LysX-M_at	717.034	P	0.000146581
AFFX-LysX-3_at	1269.01	P	4.42873e-05
AFFX-PheX-5_at	489.646	P	4.42873e-05
AFFX-PheX-M_at	713.798	P	7.00668e-05
AFFX-PheX-3_at	939.887	P	4.42873e-05
AFFX-ThrX-5_at	526.67	P	0.000296708
AFFX-ThrX-M_at	748.016	P	4.42873e-05
AFFX-ThrX-3_at	1694.35	P	4.42873e-05
AFFX-TrpnX-5_at	12.9875	A	0.52976
AFFX-TrpnX-M_at	3.93522	A	0.971543
AFFX-TrpnX-3_at	21.3973	A	0.699394
AFFX-r2-Ec-bioB-5_at	2774.9	P	0.000244141
AFFX-r2-Ec-bioB-M_at	2813	P	0.000244141
AFFX-r2-Ec-bioB-3_at	2906.56	P	0.000244141
AFFX-r2-Ec-bioC-5_at	6268.31	P	0.000244141
AFFX-r2-Ec-bioC-3_at	7109.53	P	0.000244141
AFFX-r2-Ec-bioD-5_at	27830.4	P	0.000244141
AFFX-r2-Ec-bioD-3_at	28480	P	0.000244141
AFFX-r2-P1-cre-5_at	71524.8	P	0.000244141
AFFX-r2-P1-cre-3_at	91171.2	P	0.000244141
AFFX-r2-Bs-dap-5_at	3152.06	P	0.000244141
AFFX-r2-Bs-dap-M_at	6097.26	P	0.000244141
AFFX-r2-Bs-dap-3_at	9509.78	P	0.000244141
AFFX-r2-Bs-lys-5_at	693.455	P	0.000244141
AFFX-r2-Bs-lys-M_at	590.16	P	0.000732422
AFFX-r2-Bs-lys-3_at	658.353	P	0.000244141
AFFX-r2-Bs-phe-5_at	850.553	P	0.000244141
AFFX-r2-Bs-phe-M_at	771.09	P	0.000244141
AFFX-r2-Bs-phe-3_at	1298.65	P	0.000244141
AFFX-r2-Bs-thr-3_s_at	2094.68	P	0.000244141
AFFX-r2-Bs-thr-M_s_at	1171.41	P	0.000732422
AFFX-r2-Bs-thr-5_s_at	684.501	P	0.000244141
AFFX-b-ActinMur/M12481_5_at	66919.3	P	4.42873e-05
AFFX-b-ActinMur/M12481_M_at	63077.5	P	4.42873e-05
AFFX-b-ActinMur/M12481_3_at	81874.4	P	4.42873e-05
AFFX-GapdhMur/M32599_5_at	78484.3	P	4.42873e-05
AFFX-GapdhMur/M32599_M_at	70532.4	P	4.42873e-05
AFFX-GapdhMur/M32599_3_at	63648.4	P	4.42873e-05
AFFX-TransRecMur/X57349_5_at	865.976	P	5.16732e-05
AFFX-TransRecMur/X57349_M_at	795.22	P	9.4506e-05
AFFX-TransRecMur/X57349_3_at	2308.43	P	6.02111e-05
AFFX-PyruCarbMur/L09192_5_at	222.939	P	0.0239288
AFFX-PyruCarbMur/L09192_MA_at	253.384	P	0.00618711
AFFX-PyruCarbMur/L09192_MB_at	200.198	M	0.0542134
AFFX-PyruCarbMur/L09192_3_at	496.898	P	5.16732e-05
AFFX-18SRNAMur/X00686_5_at	2251.85	P	4.42873e-05
AFFX-18SRNAMur/X00686_M_at	1442.82	P	0.000856509
AFFX-18SRNAMur/X00686_3_at	1703.36	P	4.42873e-05
AFFX-MUR_b2_at	2093.47	P	0.00051064
AFFX-MURINE_b1_at	21692.2	P	2.97849e-05
AFFX-MURINE_B2_at	81458.1	P	2.97849e-05
1415670_at	4385.08	P	0.000244141
1415671_at	7316.08	P	0.000244141
1415672_at	14916.7	P	0.000244141
1415673_at	3690.73	P	0.000732422
1415674_a_at	5814.5	P	0.000244141
1415675_at	2218.13	P	0.000244141
1415676_a_at	9954.61	P	0.000244141
1415677_at	1420.2	P	0.000244141
1415678_at	4130.69	P	0.000244141
1415679_at	16078.7	P	0.000244141
1415680_at	3244.7	P	0.000244141
1415681_at	4960.1	P	0.000244141
1415682_at	1466.88	P	0.000244141
1415683_at	7889.43	P	0.000244141
1415684_at	1408.01	P	0.000244141
1415685_at	2881.87	P	0.000244141
1415686_at	2108.9	P	0.000244141
1415687_a_at	12245.3	P	0.000244141
1415688_at	6946.86	P	0.000244141
1415689_s_at	2755.21	P	0.000244141
1415690_at	6483.71	P	0.000244141
1415691_at	2398.62	P	0.000244141
1415692_s_at	17626.8	P	0.000244141
1415693_at	2546.42	P	0.000244141
1415694_at	1079.49	P	0.000244141
1415695_at	17533.6	P	0.000244141
1415696_at	3861.62	P	0.000244141
1415697_at	6925.4	P	0.000244141
1415698_at	2647.9	P	0.000244141
1415699_a_at	6321.99	P	0.000244141
1415700_a_at	11851.8	P	0.000244141
1415701_x_at	77015.2	P	0.000244141
1415702_a_at	8169.81	P	0.000732422
1415703_at	3962.07	P	0.000244141
1415704_a_at	10229	P	0.000244141
1415705_at	1677.69	P	0.000244141
1415706_at	8772.94	P	0.000244141
1415707_at	3444.7	P	0.000244141
1415708_at	5490.74	P	0.000244141
1415709_s_at	1244.31	P	0.000244141
1415710_at	2073.07	P	0.000244141
1415711_at	4818.76	P	0.000244141
1415712_at	962.128	P	0.000244141
1415713_a_at	2944.25	P	0.000244141
1415714_a_at	6722.88	P	0.000244141
1415715_at	827.487	P	0.000244141
1415716_a_at	81586.3	P	0.000244141
1415717_at	1789.55	P	0.000732422
1415718_at	2331.33	P	0.000244141
1415719_s_at	2240.65	P	0.000244141
