

#ID_REF = 
#VALUE = MAS5
ID_REF	VALUE
AFFX-BioB-5_at	1266.4
AFFX-BioB-M_at	2111.2
AFFX-BioB-3_at	1632.7
AFFX-BioC-5_at	3522.2
AFFX-BioC-3_at	2517.3
AFFX-BioDn-5_at	6797.2
AFFX-BioDn-3_at	9067.9
AFFX-CreX-5_at	17919.4
AFFX-CreX-3_at	17269.5
AFFX-DapX-5_at	4.2
AFFX-DapX-M_at	0.4
AFFX-DapX-3_at	11.1
AFFX-LysX-5_at	6.1
AFFX-LysX-M_at	4.2
AFFX-LysX-3_at	2.8
AFFX-PheX-5_at	0.8
AFFX-PheX-M_at	1.5
AFFX-PheX-3_at	3
AFFX-ThrX-5_at	6.2
AFFX-ThrX-M_at	4.3
AFFX-ThrX-3_at	1.6
AFFX-TrpnX-5_at	4.1
AFFX-TrpnX-M_at	4.7
AFFX-TrpnX-3_at	3.9
AFFX-r2-Ec-bioB-5_at	2241.2
AFFX-r2-Ec-bioB-M_at	2175.4
AFFX-r2-Ec-bioB-3_at	1662.4
AFFX-r2-Ec-bioC-5_at	3979
AFFX-r2-Ec-bioC-3_at	4115.3
AFFX-r2-Ec-bioD-5_at	10555.8
AFFX-r2-Ec-bioD-3_at	11981.6
AFFX-r2-P1-cre-5_at	15755
AFFX-r2-P1-cre-3_at	18324.1
AFFX-r2-Bs-dap-5_at	4.6
AFFX-r2-Bs-dap-M_at	0.6
AFFX-r2-Bs-dap-3_at	5
AFFX-r2-Bs-lys-5_at	1.8
AFFX-r2-Bs-lys-M_at	0.8
AFFX-r2-Bs-lys-3_at	3.7
AFFX-r2-Bs-phe-5_at	4.7
AFFX-r2-Bs-phe-M_at	0.5
AFFX-r2-Bs-phe-3_at	0.6
AFFX-r2-Bs-thr-3_s_at	1.5
AFFX-r2-Bs-thr-M_s_at	3.4
AFFX-r2-Bs-thr-5_s_at	6
AFFX-b-ActinMur/M12481_5_at	8281
AFFX-b-ActinMur/M12481_M_at	8131.6
AFFX-b-ActinMur/M12481_3_at	9121.5
AFFX-GapdhMur/M32599_5_at	3308
AFFX-GapdhMur/M32599_M_at	5798.5
AFFX-GapdhMur/M32599_3_at	7311.9
AFFX-TransRecMur/X57349_5_at	338.3
AFFX-TransRecMur/X57349_M_at	86
AFFX-TransRecMur/X57349_3_at	117.2
AFFX-PyruCarbMur/L09192_5_at	16.9
AFFX-PyruCarbMur/L09192_MA_at	11.6
AFFX-PyruCarbMur/L09192_MB_at	1.6
AFFX-PyruCarbMur/L09192_3_at	31.4
AFFX-18SRNAMur/X00686_5_at	8428.5
AFFX-18SRNAMur/X00686_M_at	14116.3
AFFX-18SRNAMur/X00686_3_at	11745.3
AFFX-MUR_b2_at	182.7
AFFX-MURINE_b1_at	3617.8
AFFX-MURINE_B2_at	8887.9
1415670_at	1683.8
1415671_at	1227.2
1415672_at	1276.1
1415673_at	580.2
1415674_a_at	1964.5
1415675_at	487.8
1415676_a_at	925.3
1415677_at	820.9
1415678_at	1237.8
1415679_at	2567.9
1415680_at	430.2
1415681_at	760.1
1415682_at	1079.3
1415683_at	905.1
1415684_at	63.7
1415685_at	452.9
1415686_at	1382.2
1415687_a_at	1567.7
1415688_at	483.6
1415689_s_at	568.2
1415690_at	413.3
1415691_at	614.1
1415692_s_at	822.2
1415693_at	1018.6
1415694_at	121.8
1415695_at	1215.4
1415696_at	3195
1415697_at	1161.6
1415698_at	734.7
1415699_a_at	374.1
1415700_a_at	3989.2
1415701_x_at	8310.8
1415702_a_at	1275.3
1415703_at	1107.6
1415704_a_at	3949.1
1415705_at	695.6
1415706_at	3409.1
1415707_at	694.9
1415708_at	1083.8
1415709_s_at	895.4
1415710_at	212.2
1415711_at	2265.8
1415712_at	577.2
1415713_a_at	1184.7
1415714_a_at	605.5
1415715_at	288.1
1415716_a_at	12554.8
1415717_at	656.1
1415718_at	595.9
1415719_s_at	260.4
1415720_s_at	180.6
1415721_a_at	523
1415722_a_at	832.7
1415723_at	2707.2
1415724_a_at	2238.9
1415725_at	522.2
1415726_at	1005.3
1415727_at	907.5
1415728_at	1542.1
1415729_at	684.7
1415730_at	1428.2
1415731_at	473
1415732_at	325.8
1415733_a_at	921.6
1415734_at	2621.4
1415735_at	1106.4
1415736_at	3020
1415737_at	886.8
1415738_at	667
1415739_at	1127.7
1415740_at	1416.7
1415741_at	880
1415742_at	1347
1415743_at	216.8
1415744_at	1196.2
1415745_a_at	459.4
1415746_at	435.2
1415747_s_at	534.3
1415748_a_at	1463
1415749_a_at	640.7
1415750_at	222.4
1415751_at	3616.1
1415752_at	1272.1
1415753_at	136.1
1415754_at	888.2
1415755_a_at	741.3
1415756_a_at	747.1
1415757_at	99.3
1415758_at	1991.7
1415759_a_at	875.9
1415760_s_at	1130.8
1415761_at	722.1
1415762_x_at	1196.6
1415763_a_at	2609.3
1415764_at	1252.5
1415765_at	2065.3
1415766_at	117.6
1415767_at	393.8
1415768_a_at	2098.7
1415769_at	475.7
1415770_at	495.8
1415771_at	3869.6
1415772_at	510.1
1415773_at	4640.5
1415774_at	480.6
1415775_at	2026.6
1415776_at	330.8
1415777_at	4.3
1415778_at	981
1415779_s_at	6356.9
1415780_a_at	64.1
1415781_a_at	2615.8
1415782_at	2921.1
1415783_at	730.3
1415784_at	149.9
1415785_a_at	1606
1415786_at	1
1415787_at	641.1
1415788_at	219.8
1415789_a_at	250.5
1415790_at	152.9
1415791_at	279.9
1415792_at	566.7
1415793_at	205.1
1415794_a_at	957.6
1415795_at	1561.2
1415796_at	2970.4
1415797_at	42.2
1415798_at	38.1
1415799_at	529.1
1415800_at	8.3
1415801_at	17.8
1415802_at	1187.7
1415803_at	1.5
1415804_at	15.7
1415805_at	11.3
1415806_at	0.6
1415807_s_at	173.3
1415808_at	7.4
1415809_at	0.2
1415810_at	234.7
1415811_at	263.4
1415812_at	121.5
1415813_at	2938.3
1415814_at	924.4
1415815_at	58.5
1415816_at	6491.1
1415817_s_at	1740.1
1415818_at	1808.6
1415819_a_at	1454.8
1415820_x_at	4399.3
1415821_at	1423.4
1415822_at	1864.5
1415823_at	512
1415824_at	180.9
1415825_s_at	520.3
1415826_at	789.8
1415827_a_at	2259.1
1415828_a_at	1844.5
1415829_at	2420.6
1415830_at	190.5
1415831_at	1826
1415832_at	8.2
1415833_x_at	6915.9
1415834_at	386.3
1415835_at	13.6
1415836_at	190.4
1415837_at	15.2
1415838_at	635.6
1415839_a_at	4339
1415840_at	2766.8
1415841_at	871.2
1415842_at	82
1415843_at	55.1
1415844_at	2.9
1415845_at	12.5
1415846_a_at	0.9
1415847_at	18.7
1415848_at	1.7
1415849_s_at	1551.5
1415850_at	2135.5
1415851_a_at	881.2
1415852_at	732.1
1415853_at	70.5
1415854_at	5.2
1415855_at	4.4
1415856_at	2209.2
1415857_at	3438.3
1415858_at	1071.6
1415859_at	3375
1415860_at	949
1415861_at	1.9
1415862_at	0.6
1415863_at	3052.7
1415864_at	1164.5
1415865_s_at	2703.5
1415866_at	304.3
1415867_at	2895.6
1415868_at	50.1
1415869_a_at	738.1
1415870_at	273.8
1415871_at	35.7
1415872_at	2857.4
1415873_a_at	1298.7
1415874_at	98.3
1415875_at	1354.3
1415876_a_at	4708.5
1415877_at	4.2
1415878_at	1092.7
1415879_a_at	8205.1
1415880_a_at	4122.4
1415881_at	1107.9
1415882_at	2200.9
1415883_a_at	4
1415884_at	18.3
1415885_at	6.4
1415886_at	207.8
1415887_at	446.5
1415888_at	831.7
1415889_a_at	2290.6
1415890_at	275.5
1415891_at	1167.2
1415892_at	277.3
1415893_at	174.2
1415894_at	10.5
1415895_at	37.2
1415896_x_at	9.9
1415897_a_at	47.6
1415898_at	1.4
1415899_at	48.4
1415900_a_at	4.9
1415901_at	70.3
1415902_at	0.2
1415903_at	1623.5
1415904_at	48
1415905_at	0.8
1415906_at	11671.9
1415907_at	623
1415908_at	548.9
1415909_at	789.8
