

#ID_REF = 
#VALUE = MAS5
ID_REF	VALUE
1415837_at	2.1
1415838_at	607.3
1415839_a_at	5231.3
1415840_at	2953.6
1415841_at	761
1415842_at	97.2
1415843_at	49
1415844_at	0.2
1415845_at	8.3
1415846_a_at	3.9
1415847_at	17.7
1415848_at	1
1415849_s_at	1625.8
1415850_at	1931.3
1415851_a_at	1130.9
1415852_at	692.7
1415853_at	42.2
1415854_at	8.1
1415855_at	6.9
1415856_at	2490.8
1415857_at	3420.9
1415858_at	1259.3
1415859_at	3679.8
1415860_at	920.1
1415861_at	2.3
1415862_at	0.3
1415863_at	2773.3
1415864_at	1066
1415865_s_at	2605.2
1415866_at	288
1415867_at	3145.6
1415868_at	115
1415869_a_at	817.3
1415870_at	434.8
1415871_at	41
1415872_at	3229.7
1415873_a_at	1265.3
1415874_at	84.3
1415875_at	1195.7
1415876_a_at	4839.8
1415877_at	0.7
1415878_at	993.2
1415879_a_at	10189.5
1415880_a_at	4197.2
1415881_at	980
1415882_at	2433.5
1415883_a_at	0.9
1415884_at	47.2
1415885_at	3.2
1415886_at	184.9
1415887_at	397.7
1415888_at	787
1415889_a_at	2164.6
1415890_at	267.5
1415891_at	1444.8
1415892_at	392.9
1415893_at	152.3
1415894_at	21.7
1415895_at	4
1415896_x_at	37.3
1415897_a_at	22.7
1415898_at	11.2
1415899_at	50.2
1415900_a_at	12
1415901_at	62.5
1415902_at	10.5
1415903_at	1228.2
1415904_at	24.4
1415905_at	1.1
1415906_at	12325.9
1415907_at	499.3
1415908_at	485.7
1415909_at	703.4
1415910_s_at	779.6
1415911_at	100.9
1415912_a_at	5606
1415913_at	49
1415914_at	2816.2
1415915_at	1731.6
1415916_a_at	749.2
1415917_at	133.2
1415918_a_at	831.4
1415919_at	19.8
1415920_at	720.5
1415921_a_at	3.3
1415922_s_at	273.6
1415923_at	3.1
1415924_at	1.1
1415925_a_at	1628.2
1415926_at	1903.6
1415927_at	5.3
1415928_a_at	3159.9
1415929_at	918.9
1415930_a_at	4037.8
1415931_at	8.9
1415932_x_at	64.5
1415933_a_at	1549.4
1415934_at	480.9
1415935_at	0.4
1415936_at	3.8
1415937_s_at	350.5
1415938_at	1.1
1415939_at	28.2
1415940_at	319.9
1415941_s_at	355.9
1415942_at	4775.5
1415943_at	25
1415944_at	17.7
1415945_at	288.8
1415946_at	187.9
1415947_at	208.7
1415948_at	121.8
1415949_at	7.3
1415950_a_at	4976.3
1415951_at	16.8
1415952_at	816.2
1415953_s_at	249.3
1415954_at	0.5
1415955_x_at	46
1415956_a_at	637
1415957_a_at	935.7
1415958_at	4.3
1415959_at	1.2
1415960_at	11.2
1415961_at	2128.6
1415962_at	7715.9
1415963_at	1508.3
1415964_at	1.5
1415965_at	11.4
1415966_a_at	1442.3
1415967_at	885.6
1415968_a_at	5.3
1415969_s_at	0.3
1415970_at	8880
1415971_at	95.9
1415972_at	185.9
1415973_at	37.9
1415974_at	481
1415975_at	570.8
1415976_a_at	113.3
1415977_at	264
1415978_at	124.9
1415979_x_at	6557.3
1415980_at	1483.3
1415981_at	543.1
1415982_at	549.1
1415983_at	5313.4
1415984_at	368.7
1415985_at	2154
1415986_at	294.8
1415987_at	501.9
1415988_at	898
1415989_at	22.3
1415990_at	3445.3
1415991_a_at	1219.1
1415992_at	183.2
1415993_at	292.6
1415994_at	17.2
1415995_at	278.1
1415996_at	2030
1415997_at	720.9
1415998_at	2345.7
1415999_at	37
1416000_a_at	2353.4
1416001_a_at	422.2
1416002_x_at	392.8
1416003_at	1.8
1416004_at	3257.6
1416005_at	4290.9
1416006_at	69.5
1416007_at	1731.7
1416008_at	1928.2
1416009_at	1049.4
1416010_a_at	2003.2
1416011_x_at	689.6
1416012_at	45.3
1416013_at	436.5
1416014_at	579.4
1416015_s_at	785.5
1416016_at	1742
1416017_at	499.1
1416018_at	918.4
1416019_at	344.3
1416020_a_at	752.7
1416021_a_at	772.6
1416022_at	194
1416023_at	56.3
1416024_x_at	1651.5
1416025_at	8.8
1416026_a_at	6762.1
1416027_at	1813.3
1416028_a_at	1377
1416029_at	571.9
1416030_a_at	225.4
1416031_s_at	971.1
1416032_at	553
1416033_at	40.1
1416034_at	214.4
1416035_at	1462
1416036_at	2543.8
1416037_a_at	3335.8
1416038_at	1365.8
1416039_x_at	0.7
1416040_at	1.2
1416041_at	599.1
1416042_s_at	976.2
1416043_at	77.4
1416044_at	1347.8
1416045_a_at	1089.4
1416046_a_at	174
1416047_at	63.9
1416048_at	939.8
1416049_at	575.8
1416050_a_at	65.8
1416051_at	6.2
1416052_at	228.7
1416053_at	3.1
1416054_at	7215.3
1416055_at	0.5
1416056_a_at	4715.2
1416057_at	878.3
1416058_s_at	5275.5
1416059_at	504.8
1416060_at	373.9
1416061_at	917.5
1416062_at	1799.8
1416063_x_at	1.5
1416064_a_at	3538.6
1416065_a_at	904.6
1416066_at	925.3
1416067_at	1461.6
1416068_at	657.8
1416069_at	2104.4
1416070_a_at	1220.4
1416071_at	570.4
1416072_at	1.4
1416073_a_at	576
1416074_a_at	7904
1416075_at	341.4
1416076_at	102.2
1416077_at	7.3
1416078_s_at	501.6
1416079_a_at	728.9
1416080_at	22.3
1416081_at	4.2
1416082_at	3558.5
1416083_at	1244.2
1416084_at	1043
1416085_s_at	3891.5
1416086_at	687.5
1416087_at	496.2
1416088_a_at	7699.9
1416089_at	3868.9
1416090_at	1554.1
1416091_at	981
1416092_a_at	1359.1
1416093_a_at	707.3
1416094_at	91.7
1416095_x_at	1175.2
1416096_at	187.1
1416097_at	18.4
1416098_at	2.8
1416099_at	8726.6
1416100_at	1855.7
1416101_a_at	249.1
1416102_at	6005.5
1416103_at	663.8
1416104_at	412
1416105_at	216
1416106_at	281.8
1416107_at	3305.3
1416108_a_at	376.7
1416109_at	1297.1
1416110_at	1174.7
1416111_at	274.9
1416112_at	466.4
1416113_at	947.3
1416114_at	1.1
1416115_at	999.3
1416116_at	193.9
1416117_at	279.5
1416118_at	1394.6
1416119_at	3677.7
1416120_at	118.6
1416121_at	2.3
1416122_at	585.4
1416123_at	1351.1
1416124_at	2756.2
1416125_at	1105.2
1416126_at	89.3
1416127_a_at	194.9
1416128_at	69.2
1416129_at	315.1
1416130_at	50.4
1416131_s_at	357.6
1416132_at	875.6
1416133_at	837.5
1416134_at	61.2
1416135_at	491.1
1416136_at	3
1416137_at	181.1
1416138_at	704.3
1416139_at	1.1
1416140_a_at	231.8
1416141_a_at	9647.9
1416142_at	886.9
1416143_at	5047.8
1416144_a_at	2212.1
1416145_at	2352.9
1416146_at	4493.5
1416147_at	231.8
1416148_at	10.2
1416149_at	3.7
1416150_a_at	3390.3
1416151_at	134.1
1416152_a_at	307.2
1416153_at	1392.5
1416154_at	366.3
1416155_at	445.2
1416156_at	76.7
1416157_at	194
1416158_at	7.2
1416159_at	8.6
1416160_at	0.3
1416161_at	403.5
1416162_at	811.9
1416163_at	1328.1
1416164_at	0.2
1416165_at	105.7
1416166_a_at	164.5
1416167_at	193.6
1416168_at	151.8
