

#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = P or A
#DETECTION P-VALUE = 
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX-BioB-5_at	2421.86	P	0.00010954
AFFX-BioB-M_at	4067.5	P	4.42873e-05
AFFX-BioB-3_at	2553.14	P	4.42873e-05
AFFX-BioC-5_at	7293.55	P	4.42873e-05
AFFX-BioC-3_at	9083.94	P	4.42873e-05
AFFX-BioDn-5_at	18484	P	4.42873e-05
AFFX-BioDn-3_at	24858.6	P	4.42873e-05
AFFX-CreX-5_at	83227.7	P	5.16732e-05
AFFX-CreX-3_at	89776.8	P	4.42873e-05
AFFX-DapX-5_at	934.255	P	8.14279e-05
AFFX-DapX-M_at	2118.05	P	0.000581214
AFFX-DapX-3_at	3109.32	P	5.16732e-05
AFFX-LysX-5_at	137.797	P	0.00227496
AFFX-LysX-M_at	292.939	P	0.0182806
AFFX-LysX-3_at	669.808	P	7.00668e-05
AFFX-PheX-5_at	267.811	P	0.000339937
AFFX-PheX-M_at	347.946	P	0.000169227
AFFX-PheX-3_at	357.374	P	0.000195116
AFFX-ThrX-5_at	203.503	P	0.000972149
AFFX-ThrX-M_at	404.71	P	0.000195116
AFFX-ThrX-3_at	723.149	P	7.00668e-05
AFFX-TrpnX-5_at	69.3701	M	0.0542134
AFFX-TrpnX-M_at	11.6586	A	0.852061
AFFX-TrpnX-3_at	28.7455	A	0.455413
AFFX-r2-Ec-bioB-5_at	3534.48	P	0.000244141
AFFX-r2-Ec-bioB-M_at	3539.23	P	0.000244141
AFFX-r2-Ec-bioB-3_at	3745.89	P	0.000244141
AFFX-r2-Ec-bioC-5_at	9210.61	P	0.000244141
AFFX-r2-Ec-bioC-3_at	9986.39	P	0.000244141
AFFX-r2-Ec-bioD-5_at	38829.8	P	0.000244141
AFFX-r2-Ec-bioD-3_at	40688.9	P	0.000244141
AFFX-r2-P1-cre-5_at	91932.2	P	0.000244141
AFFX-r2-P1-cre-3_at	109978	P	0.000244141
AFFX-r2-Bs-dap-5_at	1310.26	P	0.000244141
AFFX-r2-Bs-dap-M_at	2371.54	P	0.000244141
AFFX-r2-Bs-dap-3_at	4059.38	P	0.000244141
AFFX-r2-Bs-lys-5_at	302.34	P	0.000732422
AFFX-r2-Bs-lys-M_at	366.913	P	0.000732422
AFFX-r2-Bs-lys-3_at	328.627	P	0.00195313
AFFX-r2-Bs-phe-5_at	406.467	P	0.000244141
AFFX-r2-Bs-phe-M_at	302.292	P	0.00585938
AFFX-r2-Bs-phe-3_at	582.558	P	0.000244141
AFFX-r2-Bs-thr-3_s_at	919.402	P	0.000244141
AFFX-r2-Bs-thr-M_s_at	575.547	P	0.0107422
AFFX-r2-Bs-thr-5_s_at	317.902	P	0.000244141
AFFX-b-ActinMur/M12481_5_at	82991	P	4.42873e-05
AFFX-b-ActinMur/M12481_M_at	84388.4	P	4.42873e-05
AFFX-b-ActinMur/M12481_3_at	101568	P	4.42873e-05
AFFX-GapdhMur/M32599_5_at	95353.4	P	4.42873e-05
AFFX-GapdhMur/M32599_M_at	87917.1	P	4.42873e-05
AFFX-GapdhMur/M32599_3_at	77602.7	P	4.42873e-05
AFFX-TransRecMur/X57349_5_at	1144.09	P	9.4506e-05
AFFX-TransRecMur/X57349_M_at	955.457	P	0.000109401
AFFX-TransRecMur/X57349_3_at	2973.53	P	4.42873e-05
AFFX-PyruCarbMur/L09192_5_at	408.549	P	0.00401721
AFFX-PyruCarbMur/L09192_MA_at	452.76	P	0.000509415
AFFX-PyruCarbMur/L09192_MB_at	450.525	P	0.0012475
AFFX-PyruCarbMur/L09192_3_at	1011.5	P	4.42873e-05
AFFX-18SRNAMur/X00686_5_at	1230.74	P	4.42873e-05
AFFX-18SRNAMur/X00686_M_at	1579.1	P	0.000224668
AFFX-18SRNAMur/X00686_3_at	1563.04	P	4.42873e-05
AFFX-MUR_b2_at	1837.08	P	0.000652035
AFFX-MURINE_b1_at	18750.3	P	2.97849e-05
AFFX-MURINE_B2_at	95314.3	P	2.97849e-05
1415670_at	4359.88	P	0.000244141
1415671_at	5523.19	P	0.000244141
1415672_at	20232	P	0.000244141
1415673_at	3488.13	P	0.000244141
1415674_a_at	5469.24	P	0.000244141
1415675_at	1691.52	P	0.000244141
1415676_a_at	11212.9	P	0.000244141
1415677_at	1424.13	P	0.000732422
1415678_at	3524.3	P	0.000244141
1415679_at	16402.5	P	0.000244141
1415680_at	2860.83	P	0.000244141
1415681_at	5737.31	P	0.000244141
1415682_at	1380.68	P	0.000244141
1415683_at	8232.48	P	0.000244141
1415684_at	1210.5	P	0.000244141
1415685_at	2171.28	P	0.000244141
1415686_at	1798.28	P	0.000244141
1415687_a_at	11776.5	P	0.000244141
1415688_at	6468.53	P	0.000244141
1415689_s_at	1686.64	P	0.000244141
1415690_at	7695.73	P	0.000244141
1415691_at	2402.36	P	0.000244141
1415692_s_at	22392.3	P	0.000244141
1415693_at	2283.72	P	0.000244141
1415694_at	1684.22	P	0.000244141
1415695_at	18808.3	P	0.000244141
1415696_at	4802.17	P	0.000244141
1415697_at	6843.99	P	0.000244141
1415698_at	2094.45	P	0.000244141
1415699_a_at	5724.68	P	0.000244141
1415700_a_at	11134.8	P	0.000244141
1415701_x_at	93633.5	P	0.000244141
1415702_a_at	7399.77	P	0.000732422
1415703_at	2735.35	P	0.000244141
1415704_a_at	11395.4	P	0.000244141
1415705_at	2048.64	P	0.000244141
1415706_at	8106.83	P	0.000244141
1415707_at	3118.43	P	0.000244141
1415708_at	3948.8	P	0.000244141
1415709_s_at	1146.88	P	0.000244141
1415710_at	1994.09	P	0.000244141
1415711_at	3922.43	P	0.000244141
1415712_at	774.832	P	0.000244141
1415713_a_at	2693.26	P	0.000244141
1415714_a_at	6935.82	P	0.000244141
1415715_at	905.046	P	0.000732422
1415716_a_at	81721.8	P	0.000244141
1415717_at	1427.19	P	0.000244141
1415718_at	3061.08	P	0.000244141
1415719_s_at	1904.06	P	0.000244141
1415720_s_at	3172.62	P	0.000244141
1415721_a_at	2015.21	P	0.000732422
1415722_a_at	5061.22	P	0.000244141
1415723_at	12559.6	P	0.000244141
1415724_a_at	25160.4	P	0.000244141
1415725_at	1424.32	P	0.000244141
1415726_at	3774.89	P	0.000244141
1415727_at	4137.82	P	0.000244141
1415728_at	1814.84	P	0.000244141
1415729_at	4796.55	P	0.000244141
1415730_at	2102.48	P	0.000244141
1415731_at	1311.75	P	0.000244141
1415732_at	1420.73	P	0.00415039
1415733_a_at	8782.65	P	0.000244141
1415734_at	9333.4	P	0.000244141
1415735_at	3387.11	P	0.000244141
1415736_at	21112.5	P	0.000244141
1415737_at	3224.88	P	0.000244141
1415738_at	4622.38	P	0.000244141
1415739_at	3424.71	P	0.000244141
1415740_at	4469.91	P	0.000244141
1415741_at	6490.25	P	0.000244141
1415742_at	3713.51	P	0.000244141
1415743_at	1130.34	P	0.00415039
1415744_at	9215.05	P	0.000244141
1415745_a_at	3189.96	P	0.000244141
1415746_at	862.117	P	0.000244141
1415747_s_at	5501.37	P	0.000244141
1415748_a_at	5742.23	P	0.000244141
1415749_a_at	6882.49	P	0.000244141
1415750_at	768.135	P	0.000244141
1415751_at	11790.7	P	0.000244141
1415752_at	9051.18	P	0.000244141
1415753_at	3070.44	P	0.000244141
1415754_at	7765.95	P	0.000244141
1415755_a_at	5676.38	P	0.000732422
1415756_a_at	4506.99	P	0.000244141
1415757_at	811.347	P	0.00292969
1415758_at	2961.5	P	0.000244141
1415759_a_at	13820.2	P	0.000244141
1415760_s_at	7210.18	P	0.000244141
1415761_at	4760.13	P	0.000244141
1415762_x_at	5561.5	P	0.000244141
1415763_a_at	7727.78	P	0.000244141
1415764_at	7322.28	P	0.000244141
1415765_at	3421.69	P	0.000244141
1415766_at	1509.62	P	0.000244141
1415767_at	3575.39	P	0.000244141
1415768_a_at	2743.61	P	0.000244141
1415769_at	4262.22	P	0.000244141
1415770_at	1884.86	P	0.000244141
1415771_at	48658.5	P	0.000244141
1415772_at	2272.89	P	0.000244141
1415773_at	30733.5	P	0.000244141
1415774_at	1513.08	P	0.000244141
1415775_at	20605.8	P	0.000244141
1415776_at	929.064	P	0.0185547
1415777_at	9.69687	A	0.774414
1415778_at	10755.6	P	0.000244141
1415779_s_at	96385.8	P	0.000244141
1415780_a_at	245.989	P	0.00585938
1415781_a_at	71306.5	P	0.000244141
1415782_at	33589.3	P	0.000244141
1415783_at	12115.4	P	0.000244141
1415784_at	2606.92	P	0.000244141
1415785_a_at	15218.4	P	0.000244141
1415786_at	13.7078	A	0.72583
1415787_at	1911.85	P	0.000244141
1415788_at	1363.08	P	0.000244141
1415789_a_at	376.311	P	0.00585938
1415790_at	626.524	P	0.00292969
1415791_at	2453.4	P	0.00292969
1415792_at	4705.03	P	0.000244141
1415793_at	1569.96	P	0.000244141
1415794_a_at	3591.32	P	0.000244141
1415795_at	877.1	P	0.000244141
1415796_at	25740.5	P	0.000244141
1415797_at	90.1863	A	0.246094
1415798_at	126.335	A	0.334473
1415799_at	4243.56	P	0.000244141
1415800_at	180.255	P	0.000732422
1415801_at	47.4976	A	0.303711
1415802_at	7738.28	P	0.000244141
1415803_at	10.9684	A	0.665527
1415804_at	168.072	M	0.0561523
1415805_at	36.1904	A	0.665527
1415806_at	55.3055	A	0.19458
1415807_s_at	7783.77	P	0.000244141
1415808_at	55.1846	A	0.466064
1415809_at	30.5771	A	0.27417
1415810_at	6774.75	P	0.000244141
1415811_at	2081.06	P	0.000244141
1415812_at	7068.2	P	0.000244141
1415813_at	5496.38	P	0.000244141
1415814_at	3693.63	P	0.0012207
1415815_at	82.0644	A	0.219482
1415816_at	17239.8	P	0.000244141
1415817_s_at	9416.08	P	0.000244141
1415818_at	13623.1	P	0.000244141
1415819_a_at	6809.92	P	0.000244141
1415820_x_at	11549.6	P	0.000244141
1415821_at	13552.8	P	0.000244141
1415822_at	25615.2	P	0.000244141
1415823_at	6409.53	P	0.000244141
1415824_at	1865.37	P	0.000244141
1415825_s_at	1651.15	P	0.000244141
1415826_at	3842.49	P	0.000244141
1415827_a_at	7254.81	P	0.000244141
1415828_a_at	6893.29	P	0.000244141
1415829_at	29198.8	P	0.000244141
1415830_at	2344.82	P	0.000732422
1415831_at	8307.08	P	0.000244141
1415832_at	33.4775	A	0.149658
1415833_x_at	88894.1	P	0.000244141
1415834_at	8600.37	P	0.000244141
1415835_at	27.2965	A	0.398926
1415836_at	1523.53	P	0.000244141
1415837_at	7.8028	A	0.633789
1415838_at	10251.1	P	0.000244141
1415839_a_at	76263.9	P	0.000244141
1415840_at	21742.4	P	0.000244141
1415841_at	5275.1	P	0.000244141
1415842_at	418.725	P	0.0012207
1415843_at	319.233	P	0.00195313
1415844_at	28.2294	A	0.665527
1415845_at	47.7546	A	0.559082
1415846_a_at	1.50802	A	0.969727
1415847_at	96.128	A	0.432373
1415848_at	24.6022	A	0.533936
1415849_s_at	39461.5	P	0.000244141
1415850_at	8903.89	P	0.000244141
1415851_a_at	12754.6	P	0.000244141
1415852_at	13953.9	P	0.000244141
