

#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = P or A
#DETECTION P-VALUE = 
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX-BioB-5_at	1645.41	P	0.00010954
AFFX-BioB-M_at	2795.21	P	4.42873e-05
AFFX-BioB-3_at	1736.48	P	4.42873e-05
AFFX-BioC-5_at	5135.02	P	5.16732e-05
AFFX-BioC-3_at	6606.26	P	4.42873e-05
AFFX-BioDn-5_at	12551.7	P	4.42873e-05
AFFX-BioDn-3_at	18634.2	P	4.42873e-05
AFFX-CreX-5_at	65484.9	P	5.16732e-05
AFFX-CreX-3_at	68966.5	P	4.42873e-05
AFFX-DapX-5_at	1501.66	P	5.16732e-05
AFFX-DapX-M_at	3245.53	P	0.000296708
AFFX-DapX-3_at	4254.55	P	5.16732e-05
AFFX-LysX-5_at	267.963	P	0.00110197
AFFX-LysX-M_at	373.718	P	0.00141043
AFFX-LysX-3_at	927.574	P	8.14279e-05
AFFX-PheX-5_at	290.532	P	0.000662269
AFFX-PheX-M_at	459.149	P	7.00668e-05
AFFX-PheX-3_at	487.814	P	6.02111e-05
AFFX-ThrX-5_at	317.422	P	0.0012475
AFFX-ThrX-M_at	532.53	P	0.00010954
AFFX-ThrX-3_at	896.208	P	7.00668e-05
AFFX-TrpnX-5_at	59.8737	M	0.0584438
AFFX-TrpnX-M_at	23.6905	A	0.58862
AFFX-TrpnX-3_at	11.818	A	0.659339
AFFX-r2-Ec-bioB-5_at	2591.6	P	0.000244141
AFFX-r2-Ec-bioB-M_at	2715.83	P	0.000244141
AFFX-r2-Ec-bioB-3_at	2807.82	P	0.000244141
AFFX-r2-Ec-bioC-5_at	6259.99	P	0.000244141
AFFX-r2-Ec-bioC-3_at	7147.64	P	0.000244141
AFFX-r2-Ec-bioD-5_at	29851.5	P	0.000244141
AFFX-r2-Ec-bioD-3_at	31948.9	P	0.000244141
AFFX-r2-P1-cre-5_at	72811.8	P	0.000244141
AFFX-r2-P1-cre-3_at	95231.8	P	0.000244141
AFFX-r2-Bs-dap-5_at	1902.68	P	0.000244141
AFFX-r2-Bs-dap-M_at	3645.69	P	0.000244141
AFFX-r2-Bs-dap-3_at	6051.62	P	0.000244141
AFFX-r2-Bs-lys-5_at	403.981	P	0.000244141
AFFX-r2-Bs-lys-M_at	342.268	P	0.000244141
AFFX-r2-Bs-lys-3_at	415.486	P	0.000244141
AFFX-r2-Bs-phe-5_at	583.697	P	0.000732422
AFFX-r2-Bs-phe-M_at	357.066	P	0.000244141
AFFX-r2-Bs-phe-3_at	900.053	P	0.000244141
AFFX-r2-Bs-thr-3_s_at	1140.87	P	0.000244141
AFFX-r2-Bs-thr-M_s_at	795.301	P	0.00415039
AFFX-r2-Bs-thr-5_s_at	451.602	P	0.000244141
AFFX-b-ActinMur/M12481_5_at	71246.1	P	4.42873e-05
AFFX-b-ActinMur/M12481_M_at	72520.9	P	4.42873e-05
AFFX-b-ActinMur/M12481_3_at	85810.8	P	4.42873e-05
AFFX-GapdhMur/M32599_5_at	82295.9	P	4.42873e-05
AFFX-GapdhMur/M32599_M_at	75635.9	P	4.42873e-05
AFFX-GapdhMur/M32599_3_at	66085.3	P	4.42873e-05
AFFX-TransRecMur/X57349_5_at	1339.79	P	8.14279e-05
AFFX-TransRecMur/X57349_M_at	1049.92	P	5.16732e-05
AFFX-TransRecMur/X57349_3_at	3317.24	P	5.16732e-05
AFFX-PyruCarbMur/L09192_5_at	442.855	P	0.002867
AFFX-PyruCarbMur/L09192_MA_at	436.711	P	0.00110197
AFFX-PyruCarbMur/L09192_MB_at	367.081	P	0.00556451
AFFX-PyruCarbMur/L09192_3_at	897.101	P	4.42873e-05
AFFX-18SRNAMur/X00686_5_at	1573.99	P	6.02111e-05
AFFX-18SRNAMur/X00686_M_at	1174.45	P	0.00179591
AFFX-18SRNAMur/X00686_3_at	1355.73	P	4.42873e-05
AFFX-MUR_b2_at	2050.79	P	0.000577349
AFFX-MURINE_b1_at	17135.7	P	2.97849e-05
AFFX-MURINE_B2_at	86541.3	P	2.97849e-05
1415670_at	4106.68	P	0.000244141
1415671_at	5342.17	P	0.000244141
1415672_at	19445.9	P	0.000244141
1415673_at	3764.99	P	0.000732422
1415674_a_at	5051.2	P	0.000244141
1415675_at	1767.31	P	0.000244141
1415676_a_at	9714.01	P	0.000244141
1415677_at	1078.26	P	0.000244141
1415678_at	3363.31	P	0.000244141
1415679_at	15866.1	P	0.000244141
1415680_at	2470.88	P	0.000244141
1415681_at	5285.3	P	0.000244141
1415682_at	1280.91	P	0.000244141
1415683_at	8296.88	P	0.000244141
1415684_at	1375.1	P	0.000244141
1415685_at	2186.38	P	0.000244141
1415686_at	1955.36	P	0.000244141
1415687_a_at	11057.6	P	0.000244141
1415688_at	6707.59	P	0.000244141
1415689_s_at	1686.93	P	0.000244141
1415690_at	7234.48	P	0.000244141
1415691_at	2765.34	P	0.000244141
1415692_s_at	21108.4	P	0.000244141
1415693_at	2430.67	P	0.000244141
1415694_at	1945.17	P	0.000244141
1415695_at	20176.1	P	0.000244141
1415696_at	4458.12	P	0.000244141
1415697_at	7044.98	P	0.000244141
1415698_at	2474.01	P	0.000244141
1415699_a_at	5905.95	P	0.000244141
1415700_a_at	11328.9	P	0.000244141
1415701_x_at	79188.1	P	0.000244141
1415702_a_at	7151.82	P	0.000732422
1415703_at	3183.22	P	0.000244141
1415704_a_at	10723.2	P	0.000244141
1415705_at	2161.43	P	0.000244141
1415706_at	8638.29	P	0.000244141
1415707_at	2620.32	P	0.000244141
1415708_at	4126.63	P	0.000244141
1415709_s_at	1166.96	P	0.000244141
1415710_at	2105.91	P	0.000244141
1415711_at	3423.92	P	0.000244141
1415712_at	848.166	P	0.000244141
1415713_a_at	2544.24	P	0.000244141
1415714_a_at	6866.03	P	0.000244141
1415715_at	896.132	P	0.000732422
1415716_a_at	74624.2	P	0.000244141
1415717_at	1353.06	P	0.000244141
1415718_at	2732.1	P	0.000244141
1415719_s_at	1947.09	P	0.000244141
1415720_s_at	3713.02	P	0.000244141
1415721_a_at	1651.98	P	0.000244141
1415722_a_at	5249.87	P	0.000244141
1415723_at	11918.9	P	0.000244141
1415724_a_at	25712.6	P	0.000244141
1415725_at	1571.33	P	0.000244141
1415726_at	3724.08	P	0.000244141
1415727_at	3646.67	P	0.000244141
1415728_at	1570.48	P	0.000244141
1415729_at	5291.35	P	0.000244141
1415730_at	2271.81	P	0.000244141
1415731_at	1288.76	P	0.000244141
1415732_at	1585.25	P	0.00292969
1415733_a_at	9418.77	P	0.000244141
1415734_at	8973.65	P	0.000244141
1415735_at	2959.06	P	0.000244141
1415736_at	19764.3	P	0.000244141
1415737_at	3290.89	P	0.000244141
1415738_at	5057.09	P	0.000244141
1415739_at	3332.67	P	0.000244141
1415740_at	4102.4	P	0.000244141
1415741_at	6652.29	P	0.000244141
1415742_at	4053.37	P	0.000244141
1415743_at	981.88	P	0.00415039
1415744_at	9801.92	P	0.000244141
1415745_a_at	3414.5	P	0.000244141
1415746_at	910.961	P	0.0012207
1415747_s_at	6006.58	P	0.000244141
1415748_a_at	6259.29	P	0.000244141
1415749_a_at	6509.79	P	0.000244141
1415750_at	748.859	P	0.000732422
1415751_at	11268.2	P	0.000244141
1415752_at	7811.67	P	0.000244141
1415753_at	3303.69	P	0.000244141
1415754_at	7801.19	P	0.000244141
1415755_a_at	5739.05	P	0.000732422
1415756_a_at	4068.58	P	0.000244141
1415757_at	538.214	P	0.00585938
1415758_at	2593.62	P	0.000244141
1415759_a_at	12747	P	0.000244141
1415760_s_at	6752.11	P	0.0012207
1415761_at	4548.94	P	0.000244141
1415762_x_at	5295.05	P	0.000244141
1415763_a_at	7096.93	P	0.000244141
1415764_at	7187.35	P	0.000244141
1415765_at	3499.41	P	0.000244141
1415766_at	1227.76	P	0.000244141
1415767_at	3274	P	0.000244141
1415768_a_at	2787.58	P	0.000244141
1415769_at	3882.46	P	0.000244141
1415770_at	1669.45	P	0.000244141
1415771_at	43534.2	P	0.000244141
1415772_at	2725.69	P	0.000244141
1415773_at	31334.4	P	0.000244141
1415774_at	1742.25	P	0.000732422
1415775_at	18857.4	P	0.000244141
1415776_at	937.888	P	0.0107422
1415777_at	6.82052	A	0.919434
1415778_at	10942.6	P	0.000244141
1415779_s_at	78848.1	P	0.000244141
1415780_a_at	277.339	P	0.000732422
1415781_a_at	61106.3	P	0.000244141
1415782_at	32042	P	0.000244141
1415783_at	12481.2	P	0.000244141
1415784_at	2924.7	P	0.000244141
1415785_a_at	14436.5	P	0.000244141
1415786_at	15.5731	A	0.5
1415787_at	1890.58	P	0.000244141
1415788_at	1318.65	P	0.000244141
1415789_a_at	325.341	P	0.00195313
1415790_at	453.123	P	0.000244141
1415791_at	2578.12	P	0.00292969
1415792_at	4268.48	P	0.000244141
1415793_at	1636.31	P	0.000732422
1415794_a_at	3442.27	P	0.000244141
1415795_at	843.674	P	0.000244141
1415796_at	24936.3	P	0.000244141
1415797_at	115.858	A	0.334473
1415798_at	63.216	A	0.696289
1415799_at	4385.45	P	0.000244141
1415800_at	217.155	P	0.00195313
1415801_at	117.712	A	0.149658
1415802_at	7230.48	P	0.000244141
1415803_at	40.5269	A	0.432373
1415804_at	195.962	A	0.111572
1415805_at	7.28311	A	0.72583
1415806_at	76.6378	A	0.334473
1415807_s_at	7410.88	P	0.000244141
1415808_at	12.1825	A	0.828613
1415809_at	4.00882	A	0.845215
1415810_at	5685.67	P	0.000244141
1415811_at	2090.78	P	0.000244141
1415812_at	6088.83	P	0.000244141
1415813_at	5217.99	P	0.000244141
1415814_at	3462.98	P	0.0012207
1415815_at	16.0416	A	0.432373
1415816_at	15397	P	0.000244141
1415817_s_at	7673.54	P	0.000244141
1415818_at	12168.4	P	0.000244141
1415819_a_at	6753.07	P	0.000244141
1415820_x_at	12602.1	P	0.000244141
1415821_at	14478.1	P	0.000244141
1415822_at	26625.1	P	0.000244141
1415823_at	6452.79	P	0.000244141
1415824_at	1789.84	P	0.000244141
1415825_s_at	1621.29	P	0.000244141
1415826_at	4520.6	P	0.000244141
1415827_a_at	7779.1	P	0.000244141
1415828_a_at	6858.82	P	0.000244141
1415829_at	29657.4	P	0.000244141
1415830_at	2554.46	P	0.000244141
