

#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = A or P
#DETECTION P-VALUE = 
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1415740_at	3267.5	P	0.000244
1415741_at	2432.3	P	0.000244
1415742_at	2518.2	P	0.000244
1415743_at	762.4	P	0.00293
1415744_at	4015.7	P	0.000732
1415745_a_at	1678	P	0.000244
1415746_at	1107.5	P	0.000244
1415747_s_at	3760.6	P	0.000244
1415748_a_at	3059	P	0.000732
1415749_a_at	2011.5	P	0.000244
1415750_at	351.5	P	0.000244
1415751_at	8530.1	P	0.000244
1415752_at	4237.2	P	0.000244
1415753_at	1538.6	P	0.000244
1415754_at	2589.3	P	0.000244
1415755_a_at	2109.5	P	0.01416
1415756_a_at	1223.6	P	0.000244
1415757_at	497	P	0.000732
1415758_at	3406.5	P	0.000244
1415759_a_at	3675	P	0.000244
1415760_s_at	2701.8	P	0.001221
1415761_at	1674.6	P	0.000244
1415762_x_at	1959.6	P	0.000244
1415763_a_at	4782.1	P	0.000244
1415764_at	13023.2	P	0.000244
1415765_at	1694.3	P	0.000244
1415766_at	723.8	P	0.000244
1415767_at	1676	P	0.000244
1415768_a_at	2542.2	P	0.000244
1415769_at	1926.2	P	0.000244
1415770_at	964.7	P	0.000244
1415771_at	16461.3	P	0.000244
1415772_at	1184.9	P	0.000244
1415773_at	4265.7	P	0.000244
1415774_at	548.9	P	0.037598
1415775_at	8264.2	P	0.000244
1415776_at	741.6	P	0.000732
1415777_at	17.7	A	0.432373
1415778_at	4998.1	P	0.000244
1415779_s_at	46886.1	P	0.000244
1415780_a_at	537.6	P	0.000244
1415781_a_at	41673.6	P	0.000244
1415782_at	18625.4	P	0.000244
1415783_at	4007.4	P	0.000244
1415784_at	267.3	P	0.00293
1415785_a_at	5793.2	P	0.000244
1415786_at	64.6	A	0.095215
1415787_at	1362.2	P	0.000244
1415788_at	1151.6	P	0.000244
1415789_a_at	209.4	P	0.001953
1415790_at	289.9	P	0.000244
1415791_at	1140.6	P	0.00293
1415792_at	2110.2	P	0.000244
1415793_at	877.8	P	0.000732
1415794_a_at	1901.1	P	0.000244
1415795_at	598.6	P	0.000244
1415796_at	10863.5	P	0.000244
1415797_at	137.4	A	0.129639
1415798_at	101.3	A	0.303711
1415799_at	1981.3	P	0.000244
1415800_at	44.3	P	0.00415
1415801_at	38.5	A	0.246094
1415802_at	1345.8	P	0.001953
1415803_at	55.3	A	0.19458
1415804_at	70.2	A	0.19458
1415805_at	83.1	P	0.018555
1415806_at	77.9	P	0.01416
1415807_s_at	4468.8	P	0.000244
1415808_at	44.9	A	0.567627
1415809_at	12.8	A	0.533936
1415810_at	424.2	P	0.000244
1415811_at	38.7	A	0.303711
1415812_at	1093	P	0.000244
1415813_at	2876.6	P	0.000244
1415814_at	1544.4	P	0.001953
1415815_at	72.6	P	0.008057
1415816_at	9323.3	P	0.000244
1415817_s_at	2687.5	P	0.000244
1415818_at	2150	P	0.000244
1415819_a_at	2842.3	P	0.000244
1415820_x_at	5801.2	P	0.000244
1415821_at	2914.5	P	0.000244
1415822_at	1624.4	P	0.000244
1415823_at	440.5	P	0.01416
1415824_at	70.6	A	0.111572
1415825_s_at	1142.3	P	0.000244
1415826_at	2347.9	P	0.000244
1415827_a_at	3221.3	P	0.000244
1415828_a_at	2250.7	P	0.000244
1415829_at	13576.4	P	0.000244
1415830_at	1648.7	P	0.000244
1415831_at	3566.2	P	0.000244
1415832_at	1.7	A	0.962402
