

#ID_REF = 
#VALUE = MAS5
ID_REF	VALUE
1415836_at	143.8
1415837_at	1.2
1415838_at	541.6
1415839_a_at	6227.5
1415840_at	2608.7
1415841_at	731.7
1415842_at	83.7
1415843_at	52.1
1415844_at	1.6
1415845_at	19.6
1415846_a_at	21.4
1415847_at	27.9
1415848_at	2.2
1415849_s_at	2843
1415850_at	1998
1415851_a_at	1088.4
1415852_at	784
1415853_at	78.1
1415854_at	3
1415855_at	1.4
1415856_at	2870.7
1415857_at	3045.7
1415858_at	893.9
1415859_at	2950.2
1415860_at	324.2
1415861_at	1.1
1415862_at	0.3
1415863_at	2586.8
1415864_at	496.6
1415865_s_at	1156.4
1415866_at	269.6
1415867_at	2926.4
1415868_at	118.5
1415869_a_at	974.5
1415870_at	348.1
1415871_at	7.6
1415872_at	5064.7
1415873_a_at	1147.1
1415874_at	12.8
1415875_at	561.9
1415876_a_at	4882.5
1415877_at	5.6
1415878_at	625.5
1415879_a_at	10982
1415880_a_at	3319.7
1415881_at	661.8
1415882_at	1521.5
1415883_a_at	0.9
1415884_at	86.7
1415885_at	2.3
1415886_at	187.6
1415887_at	260.1
1415888_at	572.3
1415889_a_at	1611.2
1415890_at	302.9
1415891_at	741.1
1415892_at	209.6
1415893_at	90.8
1415894_at	9.5
1415895_at	66.8
1415896_x_at	26
1415897_a_at	0.7
1415898_at	7.7
1415899_at	24.3
1415900_a_at	0.8
1415901_at	40.9
1415902_at	1.5
1415903_at	1040.8
1415904_at	5.9
1415905_at	0.6
1415906_at	12848.9
1415907_at	744.8
1415908_at	408.5
1415909_at	736.7
1415910_s_at	563.2
1415911_at	70
1415912_a_at	5559.6
1415913_at	56.2
1415914_at	2638.3
1415915_at	1166.6
1415916_a_at	734.4
1415917_at	196.3
1415918_a_at	130.4
1415919_at	3.8
1415920_at	725.8
1415921_a_at	5.8
1415922_s_at	17.8
1415923_at	0.5
1415924_at	7.5
1415925_a_at	1304.3
1415926_at	1809.4
1415927_at	6.3
1415928_a_at	2704.6
1415929_at	727.2
1415930_a_at	3806.4
1415931_at	0.3
1415932_x_at	2.1
1415933_a_at	875.9
1415934_at	638.5
1415935_at	0.8
1415936_at	7.3
1415937_s_at	268.6
1415938_at	9.8
1415939_at	11.3
1415940_at	373.2
1415941_s_at	246.5
1415942_at	4958.5
1415943_at	7.3
1415944_at	7.7
1415945_at	182.4
1415946_at	150.5
1415947_at	237.2
1415948_at	162.9
1415949_at	3.6
1415950_a_at	4745.8
1415951_at	20.3
1415952_at	936.1
1415953_s_at	340.2
1415954_at	8
1415955_x_at	17.6
1415956_a_at	852.5
1415957_a_at	985.9
1415958_at	7.4
1415959_at	8.6
1415960_at	1
1415961_at	1590.9
1415962_at	6733.3
1415963_at	1305.9
1415964_at	1.3
1415965_at	8.1
1415966_a_at	1501.7
1415967_at	846.7
1415968_a_at	4.2
1415969_s_at	0.8
1415970_at	7882.5
1415971_at	118
1415972_at	197.6
1415973_at	49.3
1415974_at	460.1
1415975_at	195.8
1415976_a_at	45.7
1415977_at	183.2
1415978_at	9.4
1415979_x_at	6837.6
1415980_at	1262.3
1415981_at	429.4
1415982_at	559
1415983_at	3726.8
1415984_at	514.1
1415985_at	2471
1415986_at	319
1415987_at	427.9
1415988_at	881.3
1415989_at	28.7
1415990_at	2729.6
1415991_a_at	815.1
1415992_at	188.3
1415993_at	324
1415994_at	0.3
1415995_at	212.5
1415996_at	3415.3
1415997_at	2019.8
1415998_at	1894.4
1415999_at	56.2
1416000_a_at	1172.9
1416001_a_at	169.3
1416002_x_at	131.6
1416003_at	0.4
1416004_at	2379.3
1416005_at	3229.6
1416006_at	74.5
1416007_at	3771.5
1416008_at	3951.4
1416009_at	267.2
1416010_a_at	375.3
1416011_x_at	124.1
1416012_at	27.3
1416013_at	306.3
1416014_at	469
1416015_s_at	663.2
1416016_at	1364.7
1416017_at	772.7
1416018_at	691.4
1416019_at	339.5
1416020_a_at	469.1
1416021_a_at	213.7
1416022_at	89.7
1416023_at	76.2
1416024_x_at	1349.6
1416025_at	22.9
1416026_a_at	7355.5
1416027_at	1360.2
1416028_a_at	1018.1
1416029_at	242.9
1416030_a_at	244.5
1416031_s_at	1076.8
1416032_at	577.1
1416033_at	61.9
1416034_at	64.4
1416035_at	232.8
1416036_at	1405
1416037_a_at	3419.6
1416038_at	1020.6
1416039_x_at	2.3
1416040_at	25.5
1416041_at	904.3
1416042_s_at	1110.4
1416043_at	121.7
1416044_at	1127.9
1416045_a_at	829.9
1416046_a_at	46.9
1416047_at	51.1
1416048_at	700.6
1416049_at	17.1
1416050_a_at	26.2
1416051_at	1.5
1416052_at	220
1416053_at	2.9
1416054_at	8251.8
1416055_at	0.6
1416056_a_at	4476.1
1416057_at	673.2
1416058_s_at	4870.5
1416059_at	528.2
1416060_at	495.9
1416061_at	1327.7
1416062_at	2674.4
1416063_x_at	0.7
1416064_a_at	2667.2
1416065_a_at	1008.7
1416066_at	238.9
1416067_at	1193.8
1416068_at	344.8
1416069_at	864.7
1416070_a_at	1538.2
1416071_at	645.8
1416072_at	1.7
1416073_a_at	1044.4
1416074_a_at	7658.7
1416075_at	318.8
1416076_at	80.2
1416077_at	2.3
1416078_s_at	295.4
1416079_a_at	661
1416080_at	2.5
1416081_at	61.7
1416082_at	2863.4
1416083_at	654
1416084_at	773.5
1416085_s_at	3142.6
1416086_at	460.5
1416087_at	224.9
1416088_a_at	8321.3
1416089_at	3555.5
1416090_at	1898.7
1416091_at	860.5
1416092_a_at	783.9
1416093_a_at	204.3
1416094_at	36.1
1416095_x_at	1154.8
1416096_at	138.4
1416097_at	65.5
1416098_at	1.9
1416099_at	9304.6
1416100_at	1696.7
1416101_a_at	1188.8
1416102_at	6144.9
1416103_at	682.3
1416104_at	253.4
1416105_at	427.1
1416106_at	184.3
1416107_at	3476.3
1416108_a_at	223.8
1416109_at	754.2
1416110_at	866.2
1416111_at	5.1
1416112_at	207.3
